UserName,profileId,systemTimeZone,lastUpdated,uuid,absoluteDays,endDateGMT,endUnit,allDay,calendarTitle,multimediaUrl,activityType.displayText,activityType.iconText,activityType.hasStickyTitle,activityType.isActive,activityType.lastUsedTime,activityType.type,activityType.isOriginalActivity,activityType.displayIndex,activityType.iconUri,calendarType,comment,startDateFull,endDateFull,notificationType,wantsNotification,version,hasRecurranceRules,startUnit,localTimeZone,location,marketPlaceRoutineId,startDate,isDetached,isFromMarketPlaceRoutine,eventIdentifier,calendarItemExternalIdentifier,title,type,startDateGMT,buildNumber,creationDate,token,Gender,BirthDate,chronotype,UserLocationName
d5965,e5425b3686,GMT+3,2024-09-08T19:25:43.000Z,3d6fb9f853,8799,2025-02-03T19:45:00.000Z,91,0,null,null,STUDY İN HOME,📚,1,1,"09/08/2024, 22:25:43 +0300",2,0,1,activity_work_12,0,null,"02/03/2025, 19:45:00 +0300","02/03/2025, 22:45:00 +0300",2,1,725,0,79,GMT+3,null,0,null,0,0,null,null,STUDY İN HOME,0,2025-02-03T16:45:00.000Z,4.8.8 (0),"09/08/2024, 22:25:43 +0300",awup98lpryzpvzitawupdlup42hf1o36,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:25:43.000Z,0068e49469,8799,2025-02-03T16:15:00.000Z,77,0,null,null,EAT,null,1,1,"09/08/2024, 22:25:43 +0300",3,1,11,activity_eat_0,0,null,"02/03/2025, 18:00:00 +0300","02/03/2025, 19:15:00 +0300",2,1,725,0,72,GMT+3,null,0,null,0,0,null,null,EAT,0,2025-02-03T15:00:00.000Z,4.8.8 (0),"09/08/2024, 22:25:43 +0300",awup98lpryzpvzitawupdlup42hf1o37,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:25:43.000Z,2d46a80f41,8809,2025-02-13T04:00:00.000Z,28,0,null,null,Sleep,null,0,1,"09/08/2024, 22:25:43 +0300",4,1,3,activity_sleep_0,0,null,"02/13/2025, 00:00:00 +0300","02/13/2025, 07:00:00 +0300",0,0,725,0,0,GMT+3,null,0,null,0,0,null,null,Sleep,0,2025-02-12T21:00:00.000Z,4.8.8 (0),"09/08/2024, 22:25:43 +0300",awup98lpryzpvzitawupdlup42hf1o38,null,null,,null
d5965,e5425b3686,GMT+3,2025-02-02T21:46:24.000Z,4f35567c40,8802,2025-02-06T19:00:00.000Z,88,0,null,null,STUDY İN HOME,📚,1,1,"02/03/2025, 00:46:24 +0300",2,0,1,activity_work_12,0,null,"02/06/2025, 21:00:00 +0300","02/06/2025, 22:00:00 +0300",2,1,1911,0,84,GMT+3,null,0,null,0,0,null,null,STUDY İN HOME,0,2025-02-06T18:00:00.000Z,5.2 (2),"02/03/2025, 00:46:24 +0300",awup98lpryzpvzitawupdlup42hf1o39,null,null,,null
d5965,e5425b3686,GMT+3,2025-02-02T21:46:24.000Z,439db74913,8802,2025-02-06T21:00:00.000Z,96,0,null,null,STUDY İN HOME,📚,1,1,"02/03/2025, 00:46:24 +0300",2,0,1,activity_work_12,0,null,"02/06/2025, 23:15:00 +0300","02/07/2025, 00:00:00 +0300",2,1,1911,0,93,GMT+3,null,0,null,0,0,null,null,STUDY İN HOME,0,2025-02-06T20:15:00.000Z,5.2 (2),"02/03/2025, 00:46:24 +0300",awup98lpryzpvzitawupdlup42hf1o40,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:24:18.000Z,fe2947b345,8782,2025-01-17T04:00:00.000Z,28,0,null,null,Sleep,null,0,1,"09/08/2024, 22:25:43 +0300",4,1,3,activity_sleep_0,0,null,"01/17/2025, 00:00:00 +0300","01/17/2025, 07:00:00 +0300",0,0,725,0,0,GMT+3,null,0,null,0,0,null,null,Sleep,0,2025-01-16T21:00:00.000Z,4.8.8 (0),"09/08/2024, 22:24:18 +0300",awup98lpryzpvzitawupdlup42hf1o41,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:25:43.000Z,9140020466,8788,2025-01-23T19:45:00.000Z,91,0,null,null,STUDY İN HOME,📚,1,1,"09/08/2024, 22:25:43 +0300",2,0,1,activity_work_12,0,null,"01/23/2025, 19:45:00 +0300","01/23/2025, 22:45:00 +0300",2,1,725,0,79,GMT+3,null,0,null,0,0,null,null,STUDY İN HOME,0,2025-01-23T16:45:00.000Z,4.8.8 (0),"09/08/2024, 22:25:43 +0300",awup98lpryzpvzitawupdlup42hf1o42,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:24:18.000Z,9d65245880,8789,2025-01-24T16:00:00.000Z,76,0,null,null,EAT,null,1,1,"09/08/2024, 22:25:43 +0300",3,1,11,activity_eat_0,0,null,"01/24/2025, 17:00:00 +0300","01/24/2025, 19:00:00 +0300",2,1,725,0,68,GMT+3,null,0,null,0,0,null,null,EAT,0,2025-01-24T14:00:00.000Z,4.8.8 (0),"09/08/2024, 22:24:18 +0300",awup98lpryzpvzitawupdlup42hf1o43,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:25:43.000Z,ac933d0b1b,8786,2025-01-21T04:00:00.000Z,28,0,null,null,Sleep,null,0,1,"09/08/2024, 22:25:43 +0300",4,1,3,activity_sleep_0,0,null,"01/21/2025, 00:00:00 +0300","01/21/2025, 07:00:00 +0300",0,0,725,0,0,GMT+3,null,0,null,0,0,null,null,Sleep,0,2025-01-20T21:00:00.000Z,4.8.8 (0),"09/08/2024, 22:25:43 +0300",awup98lpryzpvzitawupdlup42hf1o44,null,null,,null
d5965,e5425b3686,GMT+3,2024-09-08T19:25:43.000Z,c57dfba0c5,8787,2025-01-22T16:15:00.000Z,77,0,null,null,EAT,null,1,1,"09/08/2024, 22:25:43 +0300",3,1,11,activity_eat_0,0,null,"01/22/2025, 18:00:00 +0300","01/22/2025, 19:15:00 +0300",2,1,725,0,72,GMT+3,null,0,null,0,0,null,null,EAT,0,2025-01-22T15:00:00.000Z,4.8.8 (0),"09/08/2024, 22:25:43 +0300",awup98lpryzpvzitawupdlup42hf1o45,null,null,,null
